coder-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.29s 
coding-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.28s 
designer-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.28s 
nexus-adaptation	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-agent-memory	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.19s 
nexus-airgap	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-analytics	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-auth	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-benchmarks	PASS	 Compiling nexus-protocols v9.0.0 (/home/nexus/NEXUS/nexus-os/protocols) Checking nexus-benchmarks v9.0.0 (/home/nexus/NEXUS/nexus-os/benchmarks) Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.77s 
nexus-browser-agent	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-capability-measurement	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-cli	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.30s 
nexus-cloud	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-collab-protocol	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.17s 
nexus-collaboration	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.28s 
nexus-computer-control	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.19s 
nexus-conductor	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.29s 
nexus-conductor-benchmark	PASS	 | ^^^^^^^^^^^^^ warning: `nexus-conductor-benchmark` (bin "local-vs-cloud-battle") generated 2 warnings warning: `nexus-conductor-benchmark` (bin "cloud-models-bench") generated 4 warnings Finished `dev` profile [unoptimized + debuginfo] target(s) in 1.19s 
nexus-connectors-core	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.23s 
nexus-connectors-llm	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-connectors-messaging	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.26s 
nexus-connectors-social	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-connectors-web	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-content	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.25s 
nexus-control	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-desktop-backend	PASS	 | = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default warning: `nexus-desktop-backend` (bin "nexus-desktop-backend") generated 1 warning Finished `dev` profile [unoptimized + debuginfo] target(s) in 2.87s 
nexus-distributed	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.23s 
nexus-enterprise	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.24s 
nexus-external-tools	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.19s 
nexus-factory	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.26s 
nexus-flash-infer	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.20s 
nexus-governance-engine	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.20s 
nexus-governance-evolution	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.20s 
nexus-governance-oracle	PASS	 Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.20s 
